COMMUNITY_AREA,RACE,AGE,SEX,Count
AVALON PARK,BLK,60-69,F,2
AVALON PARK,BLK,60-69,M,3
AVALON PARK,BLK,70-79,F,1
AVALON PARK,I,0-19,M,1
AVALON PARK,UNKNOWN,UNKNOWN,UNKNOWN,3
AVALON PARK,WHI,30-39,M,2
AVALON PARK,WHI,50-59,M,1
AVALON PARK,WWH,20-29,M,1
AVALON PARK,WWH,30-39,M,1
AVALON PARK,WWH,40-49,F,1
AVONDALE,API,20-29,M,1
AVONDALE,API,30-39,M,1
AVONDALE,API,40-49,M,1
AVONDALE,BLK,0-19,M,5
AVONDALE,BLK,20-29,M,9
AVONDALE,BLK,30-39,F,1
AVONDALE,BLK,30-39,M,5
AVONDALE,BLK,40-49,M,2
AVONDALE,UNKNOWN,20-29,M,2
AVONDALE,UNKNOWN,30-39,M,2
AVONDALE,UNKNOWN,UNKNOWN,UNKNOWN,5
AVONDALE,WBH,20-29,M,4
AVONDALE,WHI,0-19,F,1
AVONDALE,WHI,0-19,M,3
AVONDALE,WHI,20-29,F,2
AVONDALE,WHI,20-29,M,8
AVONDALE,WHI,30-39,F,1
AVONDALE,WHI,30-39,M,4
AVONDALE,WHI,40-49,F,3
AVONDALE,WHI,40-49,M,2
AVONDALE,WHI,50-59,F,1
AVONDALE,WHI,50-59,M,5
AVONDALE,WHI,60-69,M,2
AVONDALE,WWH,0-19,F,5
AVONDALE,WWH,0-19,M,29
AVONDALE,WWH,20-29,F,4
AVONDALE,WWH,20-29,M,66
AVONDALE,WWH,30-39,F,4
AVONDALE,WWH,30-39,M,32
AVONDALE,WWH,40-49,M,8
AVONDALE,WWH,50-59,M,5
AVONDALE,WWH,60-69,M,2
BELMONT CRAGIN,API,20-29,M,2
BELMONT CRAGIN,BLK,0-19,F,3
BELMONT CRAGIN,BLK,0-19,M,12
BELMONT CRAGIN,BLK,20-29,F,1
BELMONT CRAGIN,BLK,20-29,M,23
BELMONT CRAGIN,BLK,20-29,UNKNOWN,1
BELMONT CRAGIN,BLK,30-39,F,1
BELMONT CRAGIN,BLK,30-39,M,8
BELMONT CRAGIN,BLK,40-49,F,2
BELMONT CRAGIN,BLK,40-49,M,3
BELMONT CRAGIN,BLK,50-59,M,3
BELMONT CRAGIN,UNKNOWN,0-19,UNKNOWN,1
BELMONT CRAGIN,UNKNOWN,40-49,F,1
BELMONT CRAGIN,UNKNOWN,40-49,M,1
BELMONT CRAGIN,UNKNOWN,UNKNOWN,UNKNOWN,12
BELMONT CRAGIN,WBH,0-19,M,2
BELMONT CRAGIN,WBH,20-29,M,6
BELMONT CRAGIN,WBH,30-39,M,3
BELMONT CRAGIN,WBH,40-49,M,1
BELMONT CRAGIN,WBH,50-59,M,1
BELMONT CRAGIN,WHI,0-19,F,3
BELMONT CRAGIN,WHI,0-19,M,2
BELMONT CRAGIN,WHI,20-29,F,2
BELMONT CRAGIN,WHI,20-29,M,15
BELMONT CRAGIN,WHI,30-39,F,2
BELMONT CRAGIN,WHI,30-39,M,5
BELMONT CRAGIN,WHI,40-49,F,1
BELMONT CRAGIN,WHI,40-49,M,4
BELMONT CRAGIN,WHI,50-59,M,3
BELMONT CRAGIN,WHI,80+,M,1
BELMONT CRAGIN,WWH,0-19,F,14
BELMONT CRAGIN,WWH,0-19,M,127
BELMONT CRAGIN,WWH,20-29,F,20
BELMONT CRAGIN,WWH,20-29,M,184
BELMONT CRAGIN,WWH,30-39,F,8
BELMONT CRAGIN,WWH,30-39,M,62
BELMONT CRAGIN,WWH,40-49,F,3
BELMONT CRAGIN,WWH,40-49,M,22
BELMONT CRAGIN,WWH,50-59,F,2
BELMONT CRAGIN,WWH,50-59,M,6
BELMONT CRAGIN,WWH,60-69,M,1
BELMONT CRAGIN,WWH,70-79,F,1
BELMONT CRAGIN,WWH,70-79,M,1
BELMONT CRAGIN,WWH,UNKNOWN,F,1
BEVERLY,API,20-29,M,1
BEVERLY,BLK,0-19,M,2
BEVERLY,BLK,20-29,F,3
BEVERLY,BLK,20-29,M,9
BEVERLY,BLK,30-39,M,7
BEVERLY,BLK,40-49,M,1
BEVERLY,BLK,50-59,M,1
BEVERLY,BLK,60-69,F,1
BEVERLY,UNKNOWN,UNKNOWN,UNKNOWN,1
BEVERLY,WHI,20-29,M,1
BEVERLY,WHI,30-39,M,1
BRIDGEPORT,API,20-29,M,2
BRIDGEPORT,API,30-39,M,1
BRIDGEPORT,API,50-59,M,1
BRIDGEPORT,API,70-79,F,1
BRIDGEPORT,API,80+,F,1
BRIDGEPORT,BLK,0-19,M,3
BRIDGEPORT,BLK,20-29,F,1
BRIDGEPORT,BLK,20-29,M,8
BRIDGEPORT,BLK,30-39,M,9
BRIDGEPORT,BLK,40-49,M,2
BRIDGEPORT,UNKNOWN,0-19,M,1
BRIDGEPORT,UNKNOWN,UNKNOWN,UNKNOWN,1
BRIDGEPORT,WBH,20-29,M,1
BRIDGEPORT,WHI,0-19,M,6
BRIDGEPORT,WHI,20-29,M,12
BRIDGEPORT,WHI,30-39,M,4
BRIDGEPORT,WHI,40-49,M,1
BRIDGEPORT,WHI,50-59,F,1
BRIDGEPORT,WHI,50-59,M,1
BRIDGEPORT,WWH,0-19,F,1
BRIDGEPORT,WWH,0-19,M,14
BRIDGEPORT,WWH,20-29,F,4
BRIDGEPORT,WWH,20-29,M,43
BRIDGEPORT,WWH,30-39,F,1
BRIDGEPORT,WWH,30-39,M,9
BRIDGEPORT,WWH,40-49,M,1
BRIDGEPORT,WWH,60-69,M,1
BRIGHTON PARK,BLK,0-19,M,6
BRIGHTON PARK,BLK,20-29,F,1
BRIGHTON PARK,BLK,20-29,M,11
BRIGHTON PARK,BLK,30-39,M,8
BRIGHTON PARK,BLK,40-49,M,1
BRIGHTON PARK,BLK,50-59,M,3
BRIGHTON PARK,BLK,60-69,M,1
BRIGHTON PARK,UNKNOWN,20-29,M,4
BRIGHTON PARK,UNKNOWN,UNKNOWN,UNKNOWN,3
BRIGHTON PARK,WBH,0-19,M,2
BRIGHTON PARK,WBH,20-29,F,1
BRIGHTON PARK,WBH,20-29,M,3
BRIGHTON PARK,WBH,30-39,F,1
BRIGHTON PARK,WHI,0-19,M,6
BRIGHTON PARK,WHI,20-29,F,3
BRIGHTON PARK,WHI,20-29,M,14
BRIGHTON PARK,WHI,30-39,F,2
BRIGHTON PARK,WHI,30-39,M,5
BRIGHTON PARK,WHI,50-59,F,2
BRIGHTON PARK,WHI,50-59,M,2
BRIGHTON PARK,WHI,70-79,F,1
BRIGHTON PARK,WWH,0-19,F,11
BRIGHTON PARK,WWH,0-19,M,141
BRIGHTON PARK,WWH,20-29,F,22
BRIGHTON PARK,WWH,20-29,M,181
BRIGHTON PARK,WWH,30-39,F,6
BRIGHTON PARK,WWH,30-39,M,65
BRIGHTON PARK,WWH,30-39,UNKNOWN,1
BRIGHTON PARK,WWH,40-49,F,4
BRIGHTON PARK,WWH,40-49,M,26
BRIGHTON PARK,WWH,50-59,M,9
BRIGHTON PARK,WWH,60-69,F,1
BRIGHTON PARK,WWH,60-69,M,2
BRIGHTON PARK,WWH,70-79,M,2
BRIGHTON PARK,WWH,80+,M,1
BRIGHTON PARK,WWH,UNKNOWN,F,1
BURNSIDE,BLK,0-19,F,3
BURNSIDE,BLK,0-19,M,21
BURNSIDE,BLK,20-29,F,5
BURNSIDE,BLK,20-29,M,25
BURNSIDE,BLK,30-39,F,2
BURNSIDE,BLK,30-39,M,16
BURNSIDE,BLK,40-49,F,1
BURNSIDE,BLK,40-49,M,7
BURNSIDE,BLK,50-59,F,1
BURNSIDE,BLK,50-59,M,1
BURNSIDE,BLK,60-69,F,2
BURNSIDE,BLK,60-69,M,1
BURNSIDE,UNKNOWN,30-39,M,1
BURNSIDE,UNKNOWN,UNKNOWN,UNKNOWN,1
BURNSIDE,WHI,40-49,M,1
BURNSIDE,WWH,20-29,M,1
CALUMET HEIGHTS,BLK,0-19,F,10
CALUMET HEIGHTS,BLK,0-19,M,50
CALUMET HEIGHTS,BLK,20-29,F,9
CALUMET HEIGHTS,BLK,20-29,M,102
CALUMET HEIGHTS,BLK,30-39,F,2
CALUMET HEIGHTS,BLK,30-39,M,35
CALUMET HEIGHTS,BLK,40-49,F,4
CALUMET HEIGHTS,BLK,40-49,M,19
CALUMET HEIGHTS,BLK,50-59,F,2
CALUMET HEIGHTS,BLK,50-59,M,4
CALUMET HEIGHTS,BLK,60-69,M,3
CALUMET HEIGHTS,BLK,70-79,F,1
CALUMET HEIGHTS,BLK,70-79,M,1
CALUMET HEIGHTS,UNKNOWN,20-29,M,1
CALUMET HEIGHTS,UNKNOWN,20-29,UNKNOWN,1
CALUMET HEIGHTS,UNKNOWN,40-49,F,1
CALUMET HEIGHTS,UNKNOWN,UNKNOWN,UNKNOWN,2
CALUMET HEIGHTS,WWH,0-19,M,4
CALUMET HEIGHTS,WWH,20-29,M,1
CALUMET HEIGHTS,WWH,40-49,M,1
CHATHAM,API,20-29,M,4
CHATHAM,BLK,0-19,F,35
CHATHAM,BLK,0-19,M,202
CHATHAM,BLK,20-29,F,64
CHATHAM,BLK,20-29,M,406
CHATHAM,BLK,30-39,F,24
CHATHAM,BLK,30-39,M,186
CHATHAM,BLK,40-49,F,15
CHATHAM,BLK,40-49,M,86
CHATHAM,BLK,50-59,F,10
CHATHAM,BLK,50-59,M,38
CHATHAM,BLK,60-69,M,21
CHATHAM,BLK,70-79,M,3
CHATHAM,BLK,80+,M,5
CHATHAM,BLK,UNKNOWN,M,1
CHATHAM,UNKNOWN,0-19,UNKNOWN,1
CHATHAM,UNKNOWN,20-29,M,6
CHATHAM,UNKNOWN,20-29,UNKNOWN,1
CHATHAM,UNKNOWN,30-39,F,1
CHATHAM,UNKNOWN,30-39,M,1
CHATHAM,UNKNOWN,UNKNOWN,UNKNOWN,15
CHATHAM,WBH,20-29,M,1
CHATHAM,WHI,20-29,F,1
CHATHAM,WHI,30-39,F,1
CHATHAM,WHI,30-39,M,4
CHATHAM,WHI,40-49,M,2
CHATHAM,WHI,60-69,M,1
CHATHAM,WWH,20-29,F,1
CHATHAM,WWH,20-29,M,5
CHATHAM,WWH,30-39,F,4
CHATHAM,WWH,30-39,M,4
CHATHAM,WWH,40-49,F,1
CHATHAM,WWH,40-49,M,1
CHATHAM,WWH,UNKNOWN,F,1
CHATHAM,WWH,UNKNOWN,M,1
CHICAGO LAWN,API,20-29,M,2
CHICAGO LAWN,API,30-39,M,1
CHICAGO LAWN,API,50-59,M,1
CHICAGO LAWN,BLK,0-19,F,44
CHICAGO LAWN,BLK,0-19,M,280
CHICAGO LAWN,BLK,20-29,F,56
CHICAGO LAWN,BLK,20-29,M,408
CHICAGO LAWN,BLK,30-39,F,27
CHICAGO LAWN,BLK,30-39,M,190
CHICAGO LAWN,BLK,40-49,F,13
CHICAGO LAWN,BLK,40-49,M,61
CHICAGO LAWN,BLK,50-59,F,9
CHICAGO LAWN,BLK,50-59,M,27
CHICAGO LAWN,BLK,60-69,F,2
CHICAGO LAWN,BLK,60-69,M,2
CHICAGO LAWN,BLK,70-79,M,1
CHICAGO LAWN,BLK,UNKNOWN,F,1
CHICAGO LAWN,BLK,UNKNOWN,M,1
CHICAGO LAWN,UNKNOWN,0-19,M,1
CHICAGO LAWN,UNKNOWN,20-29,M,3
CHICAGO LAWN,UNKNOWN,20-29,UNKNOWN,2
CHICAGO LAWN,UNKNOWN,30-39,F,1
CHICAGO LAWN,UNKNOWN,30-39,M,2
