COMMUNITY_AREA,RACE,AGE,SEX,Count,TOTAL_VICTIMS_BY_GROUP
AVONDALE,WHI,20-29,F,2,73
AVONDALE,WHI,20-29,M,8,340
AVONDALE,WHI,30-39,F,1,48
AVONDALE,WHI,30-39,M,4,239
AVONDALE,WHI,40-49,F,3,26
AVONDALE,WHI,40-49,M,2,122
AVONDALE,WHI,50-59,F,1,16
AVONDALE,WHI,50-59,M,5,88
AVONDALE,WHI,60-69,M,2,45
AVONDALE,WWH,0-19,F,5,232
AVONDALE,WWH,0-19,M,29,1716
AVONDALE,WWH,20-29,F,4,381
AVONDALE,WWH,20-29,M,66,2923
AVONDALE,WWH,30-39,F,4,165
AVONDALE,WWH,30-39,M,32,1262
AVONDALE,WWH,40-49,M,8,463
AVONDALE,WWH,50-59,M,5,161
AVONDALE,WWH,60-69,M,2,59
BELMONT CRAGIN,API,20-29,M,2,67
BELMONT CRAGIN,BLK,0-19,F,3,999
BELMONT CRAGIN,BLK,0-19,M,12,7161
BELMONT CRAGIN,BLK,20-29,F,1,1776
BELMONT CRAGIN,BLK,20-29,M,23,13644
BELMONT CRAGIN,BLK,20-29,UNKNOWN,1,10
BELMONT CRAGIN,BLK,30-39,F,1,862
BELMONT CRAGIN,BLK,30-39,M,8,6563
BELMONT CRAGIN,BLK,40-49,F,2,403
BELMONT CRAGIN,BLK,40-49,M,3,2335
BELMONT CRAGIN,BLK,50-59,M,3,1034
BELMONT CRAGIN,UNKNOWN,0-19,UNKNOWN,1,19
BELMONT CRAGIN,UNKNOWN,40-49,F,1,4
BELMONT CRAGIN,UNKNOWN,40-49,M,1,20
BELMONT CRAGIN,UNKNOWN,UNKNOWN,UNKNOWN,12,593
BELMONT CRAGIN,WBH,0-19,M,2,54
BELMONT CRAGIN,WBH,20-29,M,6,128
BELMONT CRAGIN,WBH,30-39,M,3,64
BELMONT CRAGIN,WBH,40-49,M,1,15
BELMONT CRAGIN,WBH,50-59,M,1,7
BELMONT CRAGIN,WHI,0-19,F,3,30
BELMONT CRAGIN,WHI,0-19,M,2,108
BELMONT CRAGIN,WHI,20-29,F,2,73
BELMONT CRAGIN,WHI,20-29,M,15,340
BELMONT CRAGIN,WHI,30-39,F,2,48
BELMONT CRAGIN,WHI,30-39,M,5,239
BELMONT CRAGIN,WHI,40-49,F,1,26
BELMONT CRAGIN,WHI,40-49,M,4,122
BELMONT CRAGIN,WHI,50-59,M,3,88
BELMONT CRAGIN,WHI,80+,M,1,5
BELMONT CRAGIN,WWH,0-19,F,14,232
BELMONT CRAGIN,WWH,0-19,M,127,1716
BELMONT CRAGIN,WWH,20-29,F,20,381
BELMONT CRAGIN,WWH,20-29,M,184,2923
BELMONT CRAGIN,WWH,30-39,F,8,165
BELMONT CRAGIN,WWH,30-39,M,62,1262
BELMONT CRAGIN,WWH,40-49,F,3,65
BELMONT CRAGIN,WWH,40-49,M,22,463
BELMONT CRAGIN,WWH,50-59,F,2,27
BELMONT CRAGIN,WWH,50-59,M,6,161
BELMONT CRAGIN,WWH,60-69,M,1,59
BELMONT CRAGIN,WWH,70-79,F,1,4
BELMONT CRAGIN,WWH,70-79,M,1,13
BELMONT CRAGIN,WWH,UNKNOWN,F,1,5
BEVERLY,API,20-29,M,1,67
BEVERLY,BLK,0-19,M,2,7161
BEVERLY,BLK,20-29,F,3,1776
BEVERLY,BLK,20-29,M,9,13644
BEVERLY,BLK,30-39,M,7,6563
BEVERLY,BLK,40-49,M,1,2335
BEVERLY,BLK,50-59,M,1,1034
BEVERLY,BLK,60-69,F,1,91
BEVERLY,UNKNOWN,UNKNOWN,UNKNOWN,1,593
BEVERLY,WHI,20-29,M,1,340
BEVERLY,WHI,30-39,M,1,239
BRIDGEPORT,API,20-29,M,2,67
BRIDGEPORT,API,30-39,M,1,36
BRIDGEPORT,API,50-59,M,1,19
BRIDGEPORT,API,70-79,F,1,1
BRIDGEPORT,API,80+,F,1,1
BRIDGEPORT,BLK,0-19,M,3,7161
BRIDGEPORT,BLK,20-29,F,1,1776
BRIDGEPORT,BLK,20-29,M,8,13644
BRIDGEPORT,BLK,30-39,M,9,6563
BRIDGEPORT,BLK,40-49,M,2,2335
BRIDGEPORT,UNKNOWN,0-19,M,1,74
BRIDGEPORT,UNKNOWN,UNKNOWN,UNKNOWN,1,593
BRIDGEPORT,WBH,20-29,M,1,128
BRIDGEPORT,WHI,0-19,M,6,108
BRIDGEPORT,WHI,20-29,M,12,340
BRIDGEPORT,WHI,30-39,M,4,239
BRIDGEPORT,WHI,40-49,M,1,122
BRIDGEPORT,WHI,50-59,F,1,16
BRIDGEPORT,WHI,50-59,M,1,88
BRIDGEPORT,WWH,0-19,F,1,232
BRIDGEPORT,WWH,0-19,M,14,1716
BRIDGEPORT,WWH,20-29,F,4,381
BRIDGEPORT,WWH,20-29,M,43,2923
BRIDGEPORT,WWH,30-39,F,1,165
BRIDGEPORT,WWH,30-39,M,9,1262
BRIDGEPORT,WWH,40-49,M,1,463
BRIDGEPORT,WWH,60-69,M,1,59
BRIGHTON PARK,BLK,0-19,M,6,7161
BRIGHTON PARK,BLK,20-29,F,1,1776
BRIGHTON PARK,BLK,20-29,M,11,13644
BRIGHTON PARK,BLK,30-39,M,8,6563
BRIGHTON PARK,BLK,40-49,M,1,2335
